assessment_id,employee_id,skill,proficiency_level,self_rated,manager_rated,assessed_date
ASS000411,EMP0101,SQL,Intermediate,4,,2026-03-25
ASS000412,EMP0101,Negotiation,Expert,3,4.0,2026-04-01
ASS000413,EMP0101,Agile,Beginner,2,,2026-01-07
ASS000414,EMP0101,Power BI,Expert,3,4.0,2026-04-28
ASS000415,EMP0101,Azure,Expert,1,3.0,2026-03-22
ASS000416,EMP0101,Leadership,Intermediate,1,4.0,2025-12-18
ASS000417,EMP0102,Agile,Beginner,1,1.0,2025-12-26
ASS000418,EMP0102,Data Analysis,Advanced,4,,2026-02-23
ASS000419,EMP0102,Finance,Beginner,1,5.0,2026-01-27
ASS000420,EMP0102,Machine Learning,Beginner,5,3.0,2026-01-13
ASS000421,EMP0102,Excel,Advanced,4,,2026-05-02
ASS000422,EMP0102,SQL,Advanced,2,,2026-04-30
ASS000423,EMP0102,Python,Expert,3,4.0,2026-03-10
ASS000424,EMP0102,Project Management,Beginner,1,5.0,2026-06-01
ASS000425,EMP0103,Sales,Intermediate,2,1.0,2026-01-10
ASS000426,EMP0103,Power BI,Beginner,5,5.0,2026-01-12
ASS000427,EMP0103,Leadership,Intermediate,4,5.0,2025-12-23
ASS000428,EMP0104,Communication,Expert,3,2.0,2026-03-28
ASS000429,EMP0104,Sales,Intermediate,5,3.0,2026-03-10
ASS000430,EMP0104,Agile,Beginner,4,5.0,2026-01-06
ASS000431,EMP0104,Finance,Beginner,1,2.0,2026-04-23
ASS000432,EMP0104,Python,Expert,1,5.0,2026-05-24
ASS000433,EMP0104,Power BI,Beginner,4,,2026-01-28
ASS000434,EMP0104,Data Analysis,Expert,5,5.0,2026-04-13
ASS000435,EMP0105,Finance,Intermediate,1,1.0,2026-04-01
ASS000436,EMP0105,Negotiation,Intermediate,3,5.0,2026-01-10
ASS000437,EMP0105,Communication,Expert,4,5.0,2026-03-06
ASS000438,EMP0105,Compliance,Expert,2,3.0,2025-12-23
ASS000439,EMP0105,Agile,Expert,3,3.0,2026-05-18
ASS000440,EMP0105,Machine Learning,Advanced,4,2.0,2026-03-04
ASS000441,EMP0105,Azure,Expert,4,3.0,2025-12-28
ASS000442,EMP0106,Data Analysis,Expert,4,1.0,2026-05-27
ASS000443,EMP0106,Power BI,Beginner,2,2.0,2026-05-07
ASS000444,EMP0106,Agile,Intermediate,1,,2026-01-15
ASS000445,EMP0106,SQL,Expert,5,2.0,2025-12-22
ASS000446,EMP0106,Project Management,Intermediate,2,4.0,2026-04-19
ASS000447,EMP0106,Machine Learning,Advanced,3,,2026-06-09
ASS000448,EMP0106,Excel,Advanced,4,,2025-12-13
ASS000449,EMP0107,Agile,Expert,2,4.0,2026-03-21
ASS000450,EMP0107,Negotiation,Advanced,2,3.0,2026-03-11
ASS000451,EMP0107,Finance,Expert,4,2.0,2026-02-16
ASS000452,EMP0107,Python,Intermediate,4,5.0,2026-04-05
ASS000453,EMP0107,Project Management,Beginner,1,3.0,2026-05-23
ASS000454,EMP0107,Excel,Intermediate,4,4.0,2026-04-07
ASS000455,EMP0107,Compliance,Intermediate,2,,2026-03-05
ASS000456,EMP0108,Azure,Advanced,4,,2026-05-10
ASS000457,EMP0108,Excel,Intermediate,4,,2026-05-13
ASS000458,EMP0108,Power BI,Intermediate,4,2.0,2026-02-14
ASS000459,EMP0108,Finance,Intermediate,1,,2026-05-17
ASS000460,EMP0109,Negotiation,Beginner,1,5.0,2026-02-10
ASS000461,EMP0109,Project Management,Intermediate,2,,2026-06-03
ASS000462,EMP0109,Finance,Beginner,2,1.0,2026-02-01
ASS000463,EMP0109,Agile,Intermediate,2,,2026-05-08
ASS000464,EMP0110,Sales,Intermediate,5,,2026-02-26
ASS000465,EMP0110,SQL,Beginner,2,4.0,2026-06-02
ASS000466,EMP0110,Agile,Beginner,3,4.0,2025-12-31
ASS000467,EMP0110,Finance,Advanced,1,4.0,2026-04-01
ASS000468,EMP0111,Communication,Advanced,3,2.0,2025-12-30
ASS000469,EMP0111,Data Analysis,Advanced,4,5.0,2026-05-14
ASS000470,EMP0111,Python,Intermediate,4,2.0,2026-03-05
ASS000471,EMP0111,Sales,Advanced,1,2.0,2026-04-12
ASS000472,EMP0111,Negotiation,Expert,2,5.0,2026-03-04
ASS000473,EMP0111,Agile,Advanced,5,,2026-05-01
ASS000474,EMP0111,Excel,Intermediate,5,2.0,2026-04-13
ASS000475,EMP0111,Leadership,Beginner,2,5.0,2026-06-06
ASS000476,EMP0112,Project Management,Advanced,1,,2025-12-29
ASS000477,EMP0112,Sales,Advanced,5,4.0,2026-02-16
ASS000478,EMP0112,Compliance,Advanced,1,1.0,2026-01-05
ASS000479,EMP0112,Data Analysis,Advanced,1,4.0,2026-05-30
ASS000480,EMP0112,Azure,Expert,1,4.0,2026-01-23
ASS000481,EMP0112,Finance,Advanced,4,1.0,2026-05-29
ASS000482,EMP0112,SQL,Advanced,5,5.0,2026-03-04
ASS000483,EMP0113,Power BI,Beginner,1,,2026-02-14
ASS000484,EMP0113,Data Analysis,Intermediate,3,,2026-03-12
ASS000485,EMP0113,Machine Learning,Expert,2,,2026-02-12
ASS000486,EMP0113,Leadership,Advanced,5,2.0,2026-06-05
ASS000487,EMP0114,Project Management,Advanced,5,,2026-01-19
ASS000488,EMP0114,Excel,Advanced,3,3.0,2026-03-02
ASS000489,EMP0114,Azure,Advanced,4,3.0,2026-01-19
ASS000490,EMP0114,Machine Learning,Beginner,4,,2026-03-16
ASS000491,EMP0114,Sales,Intermediate,1,,2026-05-03
ASS000492,EMP0114,Communication,Beginner,1,4.0,2026-01-20
ASS000493,EMP0114,Finance,Expert,4,,2026-05-04
ASS000494,EMP0114,Compliance,Intermediate,3,4.0,2026-01-20
ASS000495,EMP0115,Negotiation,Advanced,5,,2025-12-24
ASS000496,EMP0115,Compliance,Expert,4,,2025-12-30
ASS000497,EMP0115,Power BI,Beginner,1,3.0,2026-03-28
ASS000498,EMP0115,Finance,Expert,4,1.0,2026-05-05
ASS000499,EMP0115,Azure,Expert,2,2.0,2026-03-01
ASS000500,EMP0115,Excel,Advanced,3,4.0,2026-05-10
ASS000501,EMP0115,Data Analysis,Intermediate,4,5.0,2026-02-20
ASS000502,EMP0115,Project Management,Advanced,1,4.0,2026-05-14
ASS000503,EMP0116,Finance,Beginner,5,,2025-12-30
ASS000504,EMP0116,Compliance,Expert,3,3.0,2026-04-14
ASS000505,EMP0116,Machine Learning,Beginner,1,,2026-05-06
ASS000506,EMP0117,Compliance,Advanced,3,2.0,2026-04-24
ASS000507,EMP0117,Azure,Intermediate,5,5.0,2026-05-31
ASS000508,EMP0117,Negotiation,Beginner,3,,2026-04-01
ASS000509,EMP0117,Excel,Beginner,3,3.0,2026-06-07
ASS000510,EMP0117,Communication,Beginner,5,,2026-03-26
ASS000511,EMP0117,Sales,Advanced,4,5.0,2026-03-24
ASS000512,EMP0118,Data Analysis,Beginner,5,5.0,2026-02-11
ASS000513,EMP0118,Azure,Intermediate,5,,2026-01-11
ASS000514,EMP0118,Project Management,Advanced,1,,2025-12-20
ASS000515,EMP0118,Excel,Expert,3,5.0,2026-04-14
ASS000516,EMP0118,Compliance,Intermediate,3,3.0,2026-05-10
ASS000517,EMP0118,Negotiation,Intermediate,3,,2026-02-28
ASS000518,EMP0118,Leadership,Advanced,2,2.0,2026-05-19
ASS000519,EMP0119,Sales,Beginner,2,1.0,2025-12-12
ASS000520,EMP0119,Leadership,Beginner,2,3.0,2026-03-02
ASS000521,EMP0119,Communication,Advanced,4,3.0,2026-04-04
ASS000522,EMP0120,Azure,Advanced,4,,2026-03-05
ASS000523,EMP0120,Project Management,Beginner,1,2.0,2026-01-14
ASS000524,EMP0120,Communication,Beginner,3,,2026-05-07
ASS000525,EMP0121,Negotiation,Advanced,3,4.0,2026-04-28
ASS000526,EMP0121,Machine Learning,Beginner,5,1.0,2025-12-19
ASS000527,EMP0121,Sales,Advanced,1,5.0,2026-01-23
ASS000528,EMP0121,Communication,Intermediate,2,5.0,2026-03-02
ASS000529,EMP0123,Negotiation,Advanced,1,1.0,2026-01-12
ASS000530,EMP0123,Sales,Advanced,4,,2026-03-22
ASS000531,EMP0123,Communication,Beginner,1,1.0,2025-12-24
ASS000532,EMP0123,Python,Intermediate,3,4.0,2025-12-29
ASS000533,EMP0123,SQL,Beginner,3,4.0,2026-05-05
ASS000534,EMP0123,Azure,Beginner,5,,2026-03-31
ASS000535,EMP0123,Data Analysis,Beginner,2,3.0,2025-12-18
ASS000536,EMP0123,Leadership,Advanced,3,,2025-12-29
ASS000537,EMP0124,Compliance,Beginner,5,4.0,2025-12-26
ASS000538,EMP0124,Negotiation,Expert,1,3.0,2026-04-09
ASS000539,EMP0124,Finance,Intermediate,5,2.0,2026-05-06
ASS000540,EMP0124,Machine Learning,Advanced,1,1.0,2026-04-07
ASS000541,EMP0124,Azure,Expert,1,,2026-04-05
ASS000542,EMP0124,Agile,Intermediate,2,1.0,2026-05-08
ASS000543,EMP0124,Communication,Intermediate,3,2.0,2026-01-06
ASS000544,EMP0124,Project Management,Beginner,5,3.0,2025-12-19
ASS000545,EMP0125,Python,Advanced,5,4.0,2026-01-10
ASS000546,EMP0125,Compliance,Expert,3,4.0,2026-02-27
ASS000547,EMP0125,Azure,Beginner,1,2.0,2026-06-05
ASS000548,EMP0125,Project Management,Expert,2,2.0,2026-06-07
ASS000549,EMP0125,Sales,Beginner,4,3.0,2025-12-25
ASS000550,EMP0125,SQL,Expert,3,1.0,2026-01-13
ASS000551,EMP0125,Negotiation,Beginner,1,1.0,2026-05-21
ASS000552,EMP0125,Data Analysis,Beginner,5,,2026-01-04
ASS000553,EMP0126,Negotiation,Beginner,2,5.0,2026-05-30
ASS000554,EMP0126,Power BI,Expert,5,2.0,2025-12-23
ASS000555,EMP0126,Sales,Expert,2,,2026-05-14
ASS000556,EMP0126,Agile,Advanced,3,5.0,2026-04-18
ASS000557,EMP0126,Finance,Beginner,1,4.0,2026-04-13
ASS000558,EMP0126,Azure,Beginner,5,5.0,2025-12-20
ASS000559,EMP0126,Machine Learning,Advanced,3,,2026-01-12
ASS000560,EMP0126,Data Analysis,Beginner,1,,2025-12-21
ASS000561,EMP0127,Finance,Beginner,4,1.0,2026-04-24
ASS000562,EMP0127,Communication,Beginner,3,,2026-05-15
ASS000563,EMP0127,Python,Expert,1,1.0,2026-04-24
ASS000564,EMP0127,Data Analysis,Expert,1,,2026-05-16
ASS000565,EMP0128,Compliance,Advanced,5,1.0,2026-05-19
ASS000566,EMP0128,Azure,Expert,1,3.0,2026-05-21
ASS000567,EMP0128,Excel,Beginner,4,4.0,2026-01-31
ASS000568,EMP0128,Communication,Advanced,4,5.0,2026-01-23
ASS000569,EMP0128,Machine Learning,Advanced,5,4.0,2026-01-30
ASS000570,EMP0128,Leadership,Intermediate,5,1.0,2026-02-08
ASS000571,EMP0128,Finance,Intermediate,5,3.0,2026-04-10
ASS000572,EMP0129,Project Management,Intermediate,3,5.0,2026-02-05
ASS000573,EMP0129,Compliance,Expert,4,5.0,2025-12-28
ASS000574,EMP0129,Sales,Advanced,2,,2026-02-25
ASS000575,EMP0129,Agile,Advanced,4,,2026-04-12
ASS000576,EMP0129,Communication,Expert,1,3.0,2026-04-21
ASS000577,EMP0130,Communication,Expert,4,,2026-05-07
ASS000578,EMP0130,Data Analysis,Expert,4,,2026-04-30
ASS000579,EMP0130,Leadership,Expert,4,,2026-01-17
ASS000580,EMP0130,Machine Learning,Advanced,5,3.0,2026-05-17
ASS000581,EMP0130,Python,Expert,5,4.0,2026-03-15
ASS000582,EMP0130,Power BI,Beginner,1,4.0,2026-01-11
ASS000583,EMP0130,Agile,Expert,4,3.0,2025-12-20
ASS000584,EMP0130,Negotiation,Intermediate,1,4.0,2026-01-06
ASS000585,EMP0131,SQL,Intermediate,3,,2026-01-19
ASS000586,EMP0131,Negotiation,Advanced,2,4.0,2026-05-21
ASS000587,EMP0131,Power BI,Beginner,1,5.0,2026-05-23
ASS000588,EMP0131,Leadership,Advanced,5,1.0,2026-03-09
ASS000589,EMP0133,SQL,Intermediate,1,2.0,2026-02-13
ASS000590,EMP0133,Leadership,Intermediate,1,,2026-01-03
ASS000591,EMP0133,Python,Advanced,3,1.0,2026-02-13
ASS000592,EMP0133,Compliance,Intermediate,3,2.0,2026-01-09
ASS000593,EMP0134,Negotiation,Beginner,5,,2026-01-09
ASS000594,EMP0134,Agile,Advanced,3,2.0,2026-05-01
ASS000595,EMP0134,Compliance,Beginner,3,1.0,2026-02-04
ASS000596,EMP0134,SQL,Beginner,5,4.0,2026-03-20
ASS000597,EMP0135,Excel,Expert,4,5.0,2026-01-09
ASS000598,EMP0135,Negotiation,Advanced,1,1.0,2026-01-02
ASS000599,EMP0135,Finance,Expert,5,,2025-12-29
ASS000600,EMP0135,Azure,Intermediate,4,5.0,2026-05-28
ASS000601,EMP0136,Agile,Expert,2,2.0,2026-02-28
ASS000602,EMP0136,Negotiation,Advanced,4,5.0,2026-05-07
ASS000603,EMP0136,Data Analysis,Expert,2,3.0,2026-03-19
ASS000604,EMP0136,SQL,Expert,4,3.0,2026-05-28
ASS000605,EMP0136,Finance,Intermediate,4,,2026-04-26
ASS000606,EMP0136,Compliance,Advanced,5,5.0,2026-01-08
ASS000607,EMP0136,Python,Intermediate,4,2.0,2026-02-10
ASS000608,EMP0136,Sales,Advanced,3,2.0,2026-04-14
ASS000609,EMP0137,Azure,Intermediate,5,,2025-12-20
ASS000610,EMP0137,Leadership,Intermediate,3,2.0,2026-03-29
ASS000611,EMP0137,SQL,Intermediate,5,2.0,2025-12-12
ASS000612,EMP0137,Finance,Advanced,4,4.0,2026-02-23
ASS000613,EMP0137,Project Management,Expert,1,5.0,2026-03-27
ASS000614,EMP0138,Excel,Beginner,2,,2026-03-13
ASS000615,EMP0138,Leadership,Advanced,2,,2026-05-24
ASS000616,EMP0138,Negotiation,Intermediate,4,5.0,2026-01-17
ASS000617,EMP0138,Finance,Beginner,3,2.0,2026-02-26
ASS000618,EMP0138,Data Analysis,Intermediate,1,1.0,2026-03-14
ASS000619,EMP0138,Project Management,Advanced,1,,2026-01-31
ASS000620,EMP0139,Python,Expert,1,,2026-02-05
ASS000621,EMP0139,Sales,Advanced,2,5.0,2026-02-23
ASS000622,EMP0139,SQL,Advanced,3,3.0,2026-02-02
ASS000623,EMP0139,Agile,Intermediate,2,,2026-05-15
ASS000624,EMP0140,Compliance,Intermediate,2,5.0,2026-03-09
ASS000625,EMP0140,Project Management,Intermediate,5,5.0,2026-03-12
ASS000626,EMP0140,SQL,Beginner,1,,2025-12-20
ASS000627,EMP0140,Finance,Intermediate,3,,2026-02-08
ASS000628,EMP0140,Sales,Expert,3,5.0,2026-04-26
ASS000629,EMP0140,Leadership,Advanced,5,1.0,2026-05-02
ASS000630,EMP0140,Azure,Beginner,4,1.0,2026-04-28
ASS000631,EMP0142,SQL,Intermediate,4,2.0,2026-03-10
ASS000632,EMP0142,Leadership,Expert,2,4.0,2026-06-04
ASS000633,EMP0142,Machine Learning,Advanced,5,2.0,2026-01-22
ASS000634,EMP0142,Finance,Beginner,2,,2026-01-24
ASS000635,EMP0143,Leadership,Expert,2,3.0,2026-05-02
ASS000636,EMP0143,Excel,Intermediate,4,3.0,2026-03-10
ASS000637,EMP0143,Data Analysis,Expert,4,,2026-03-10
ASS000638,EMP0143,Python,Beginner,2,4.0,2026-05-27
ASS000639,EMP0143,Project Management,Advanced,4,,2026-04-21
ASS000640,EMP0143,Negotiation,Expert,4,2.0,2026-01-11
ASS000641,EMP0143,Compliance,Intermediate,1,2.0,2026-05-13
ASS000642,EMP0144,Sales,Intermediate,4,3.0,2026-05-08
ASS000643,EMP0144,Data Analysis,Expert,2,2.0,2026-04-06
ASS000644,EMP0144,Power BI,Intermediate,2,3.0,2026-04-30
ASS000645,EMP0144,SQL,Advanced,5,4.0,2026-04-01
ASS000646,EMP0144,Machine Learning,Intermediate,1,4.0,2026-04-18
ASS000647,EMP0144,Azure,Expert,1,5.0,2026-02-17
ASS000648,EMP0144,Compliance,Intermediate,1,,2026-01-29
ASS000649,EMP0144,Communication,Advanced,2,5.0,2026-05-18
ASS000650,EMP0146,Excel,Advanced,1,,2026-01-31
ASS000651,EMP0146,Machine Learning,Intermediate,1,,2026-02-24
ASS000652,EMP0146,Data Analysis,Intermediate,4,1.0,2026-03-13
ASS000653,EMP0146,SQL,Beginner,3,2.0,2026-05-13
ASS000654,EMP0146,Negotiation,Expert,3,5.0,2025-12-29
ASS000655,EMP0146,Finance,Beginner,4,5.0,2026-02-17
ASS000656,EMP0146,Agile,Advanced,5,3.0,2026-04-01
ASS000657,EMP0146,Communication,Advanced,2,,2026-01-28
ASS000658,EMP0147,Machine Learning,Intermediate,4,4.0,2026-01-14
ASS000659,EMP0147,Finance,Expert,4,5.0,2026-03-17
ASS000660,EMP0147,Azure,Expert,4,2.0,2026-02-19
ASS000661,EMP0147,SQL,Expert,1,,2026-05-11
ASS000662,EMP0147,Compliance,Advanced,1,5.0,2025-12-25
ASS000663,EMP0147,Communication,Advanced,2,5.0,2025-12-16
ASS000664,EMP0149,Sales,Intermediate,2,,2026-04-08
ASS000665,EMP0149,Data Analysis,Beginner,4,1.0,2026-02-20
ASS000666,EMP0149,Finance,Beginner,1,,2025-12-27
ASS000667,EMP0149,Excel,Intermediate,5,,2026-02-09
ASS000668,EMP0149,Power BI,Beginner,3,,2026-05-06
ASS000669,EMP0149,Communication,Intermediate,4,4.0,2026-04-10
ASS000670,EMP0149,Project Management,Intermediate,1,,2026-04-04
ASS000671,EMP0150,Python,Expert,3,5.0,2025-12-15
ASS000672,EMP0150,SQL,Advanced,5,1.0,2026-02-16
ASS000673,EMP0150,Agile,Expert,2,1.0,2026-02-23
ASS000674,EMP0150,Negotiation,Expert,5,4.0,2026-03-11
ASS000675,EMP0150,Data Analysis,Intermediate,4,1.0,2026-04-03
ASS000676,EMP0150,Communication,Expert,1,,2026-01-15
ASS000677,EMP0150,Compliance,Intermediate,4,,2026-02-08
ASS000678,EMP0151,Sales,Expert,5,2.0,2026-06-03
ASS000679,EMP0151,Power BI,Advanced,3,4.0,2025-12-31
ASS000680,EMP0151,Python,Advanced,3,4.0,2026-04-10
ASS000681,EMP0151,Leadership,Intermediate,2,4.0,2026-03-12
ASS000682,EMP0152,SQL,Advanced,3,1.0,2026-05-22
ASS000683,EMP0152,Agile,Expert,4,,2026-05-17
ASS000684,EMP0152,Sales,Intermediate,4,,2026-04-04
ASS000685,EMP0153,Data Analysis,Expert,1,,2026-05-07
ASS000686,EMP0153,Leadership,Advanced,5,3.0,2026-03-18
ASS000687,EMP0153,Communication,Expert,4,5.0,2026-02-06
ASS000688,EMP0153,Agile,Intermediate,2,4.0,2026-02-02
ASS000689,EMP0153,Negotiation,Advanced,4,,2026-02-23
ASS000690,EMP0153,Sales,Intermediate,2,4.0,2026-04-18
ASS000691,EMP0154,Agile,Advanced,3,4.0,2026-02-24
ASS000692,EMP0154,Finance,Advanced,5,4.0,2026-05-05
ASS000693,EMP0154,Compliance,Beginner,3,2.0,2026-02-02
ASS000694,EMP0154,Leadership,Expert,3,1.0,2026-04-29
ASS000695,EMP0154,Machine Learning,Intermediate,3,,2026-02-20
ASS000696,EMP0154,Communication,Intermediate,4,5.0,2026-04-16
ASS000697,EMP0156,Data Analysis,Expert,3,5.0,2026-01-30
ASS000698,EMP0156,Negotiation,Advanced,1,,2026-05-16
ASS000699,EMP0156,Excel,Advanced,3,1.0,2026-05-10
ASS000700,EMP0157,Data Analysis,Intermediate,5,4.0,2026-04-03
ASS000701,EMP0157,Python,Intermediate,2,1.0,2026-01-28
ASS000702,EMP0157,Leadership,Expert,5,5.0,2025-12-19
ASS000703,EMP0157,Azure,Advanced,1,4.0,2026-01-21
ASS000704,EMP0157,Agile,Beginner,3,,2025-12-11
ASS000705,EMP0157,Negotiation,Expert,2,,2026-04-27
ASS000706,EMP0158,Compliance,Intermediate,4,2.0,2026-05-29
ASS000707,EMP0158,Python,Expert,5,2.0,2026-06-02
ASS000708,EMP0158,Leadership,Advanced,4,4.0,2026-02-01
ASS000709,EMP0158,SQL,Expert,4,2.0,2026-01-22
ASS000710,EMP0158,Agile,Intermediate,4,,2026-05-12
ASS000711,EMP0159,Machine Learning,Beginner,5,,2026-05-18
ASS000712,EMP0159,Project Management,Beginner,1,1.0,2026-01-15
ASS000713,EMP0159,Excel,Expert,4,,2026-05-16
ASS000714,EMP0159,SQL,Beginner,5,4.0,2026-02-07
ASS000715,EMP0159,Leadership,Advanced,5,4.0,2026-03-31
ASS000716,EMP0159,Agile,Expert,2,2.0,2026-05-28
ASS000717,EMP0159,Power BI,Beginner,4,,2026-01-29
ASS000718,EMP0160,Agile,Advanced,3,4.0,2026-03-24
ASS000719,EMP0160,Leadership,Intermediate,3,,2026-05-17
ASS000720,EMP0160,Project Management,Advanced,2,2.0,2026-05-08
ASS000721,EMP0160,Sales,Expert,1,5.0,2026-03-12
ASS000722,EMP0161,Communication,Beginner,5,1.0,2026-01-11
ASS000723,EMP0161,Finance,Intermediate,2,4.0,2026-06-08
ASS000724,EMP0161,Project Management,Beginner,2,2.0,2026-01-16
ASS000725,EMP0161,Python,Expert,4,,2026-04-06
ASS000726,EMP0161,Compliance,Advanced,1,2.0,2026-06-06
ASS000727,EMP0162,Project Management,Beginner,3,5.0,2026-05-11
ASS000728,EMP0162,Communication,Beginner,4,1.0,2026-04-12
ASS000729,EMP0162,Data Analysis,Expert,3,,2025-12-17
ASS000730,EMP0162,Agile,Expert,3,,2025-12-18
ASS000731,EMP0163,Data Analysis,Expert,5,5.0,2026-01-18
ASS000732,EMP0163,Azure,Beginner,2,,2026-05-23
ASS000733,EMP0163,Finance,Advanced,4,,2026-05-28
ASS000734,EMP0163,Agile,Advanced,3,1.0,2026-05-29
ASS000735,EMP0163,Sales,Advanced,3,4.0,2026-01-16
ASS000736,EMP0163,Excel,Beginner,5,,2026-01-03
ASS000737,EMP0164,Data Analysis,Advanced,2,1.0,2026-03-04
ASS000738,EMP0164,Compliance,Expert,5,5.0,2026-03-19
ASS000739,EMP0164,Agile,Advanced,3,1.0,2026-03-28
ASS000740,EMP0164,Azure,Advanced,5,,2026-01-19
ASS000741,EMP0164,Sales,Intermediate,1,3.0,2026-03-06
ASS000742,EMP0164,Communication,Beginner,3,,2026-04-10
ASS000743,EMP0165,Finance,Beginner,2,5.0,2026-04-18
ASS000744,EMP0165,Python,Expert,4,,2025-12-15
ASS000745,EMP0165,SQL,Intermediate,2,4.0,2026-02-17
ASS000746,EMP0165,Negotiation,Advanced,1,1.0,2026-03-06
ASS000747,EMP0165,Leadership,Beginner,3,,2026-05-14
ASS000748,EMP0165,Power BI,Beginner,2,2.0,2026-06-08
ASS000749,EMP0165,Azure,Intermediate,1,,2026-05-28
ASS000750,EMP0167,Machine Learning,Advanced,2,,2026-04-19
ASS000751,EMP0167,Leadership,Intermediate,1,4.0,2026-03-21
ASS000752,EMP0167,Azure,Intermediate,1,1.0,2026-05-12
ASS000753,EMP0167,SQL,Beginner,5,,2025-12-22
ASS000754,EMP0167,Data Analysis,Advanced,3,4.0,2026-01-22
ASS000755,EMP0167,Compliance,Advanced,4,4.0,2026-04-07
ASS000756,EMP0167,Python,Expert,2,5.0,2026-05-05
ASS000757,EMP0167,Sales,Intermediate,3,3.0,2026-04-14
ASS000758,EMP0168,Leadership,Expert,2,2.0,2026-05-08
ASS000759,EMP0168,Azure,Intermediate,4,2.0,2026-04-04
ASS000760,EMP0168,Data Analysis,Advanced,1,2.0,2026-05-29
ASS000761,EMP0168,SQL,Advanced,3,4.0,2026-05-10
ASS000762,EMP0168,Agile,Beginner,3,5.0,2025-12-19
ASS000763,EMP0168,Negotiation,Intermediate,1,1.0,2026-04-02
ASS000764,EMP0168,Finance,Expert,5,3.0,2026-01-31
ASS000765,EMP0168,Power BI,Expert,4,,2026-05-15
ASS000766,EMP0169,Python,Advanced,5,3.0,2026-05-03
ASS000767,EMP0169,Compliance,Beginner,5,3.0,2026-02-05
ASS000768,EMP0169,Negotiation,Expert,3,,2026-06-07
ASS000769,EMP0169,Excel,Advanced,1,4.0,2026-04-06
ASS000770,EMP0169,Data Analysis,Advanced,3,5.0,2026-04-25
ASS000771,EMP0171,Leadership,Beginner,1,2.0,2026-04-19
ASS000772,EMP0171,Compliance,Intermediate,4,3.0,2026-02-07
ASS000773,EMP0171,Agile,Expert,4,4.0,2026-02-02
ASS000774,EMP0171,Data Analysis,Advanced,5,3.0,2026-02-04
ASS000775,EMP0174,SQL,Expert,5,1.0,2025-12-14
ASS000776,EMP0174,Power BI,Expert,1,3.0,2026-06-02
ASS000777,EMP0174,Azure,Advanced,5,5.0,2026-05-22
ASS000778,EMP0174,Data Analysis,Advanced,5,4.0,2026-03-11
ASS000779,EMP0174,Project Management,Advanced,1,2.0,2026-01-18
ASS000780,EMP0174,Compliance,Advanced,4,4.0,2026-01-03
ASS000781,EMP0174,Excel,Intermediate,3,2.0,2026-02-16
ASS000782,EMP0174,Finance,Beginner,2,4.0,2026-03-08
ASS000783,EMP0175,Machine Learning,Advanced,1,2.0,2026-03-16
ASS000784,EMP0175,Negotiation,Intermediate,4,2.0,2026-05-16
ASS000785,EMP0175,Finance,Beginner,3,1.0,2026-04-25
ASS000786,EMP0175,Python,Intermediate,3,,2026-06-05
ASS000787,EMP0175,Communication,Beginner,1,3.0,2026-02-14
ASS000788,EMP0176,Azure,Advanced,4,1.0,2026-03-03
ASS000789,EMP0176,Finance,Intermediate,2,4.0,2026-04-26
ASS000790,EMP0176,Excel,Expert,4,5.0,2026-05-19
ASS000791,EMP0176,Leadership,Advanced,1,5.0,2025-12-29
ASS000792,EMP0176,Negotiation,Beginner,5,1.0,2026-02-06
ASS000793,EMP0176,Machine Learning,Intermediate,1,3.0,2026-06-06
ASS000794,EMP0176,Sales,Advanced,4,2.0,2025-12-29
ASS000795,EMP0177,Negotiation,Beginner,5,2.0,2026-05-29
ASS000796,EMP0177,Machine Learning,Beginner,4,,2026-04-02
ASS000797,EMP0177,Project Management,Advanced,1,1.0,2026-02-21
ASS000798,EMP0177,Compliance,Advanced,5,,2025-12-26
ASS000799,EMP0177,Azure,Beginner,1,2.0,2026-01-14
ASS000800,EMP0177,Sales,Beginner,2,1.0,2025-12-17
ASS000801,EMP0177,Communication,Intermediate,2,5.0,2026-03-05
ASS000802,EMP0177,Data Analysis,Intermediate,4,2.0,2026-06-06
ASS000803,EMP0178,Sales,Expert,5,,2026-04-17
ASS000804,EMP0178,Agile,Beginner,5,2.0,2026-03-24
ASS000805,EMP0178,Azure,Advanced,3,4.0,2026-03-22
ASS000806,EMP0179,Finance,Expert,4,3.0,2026-05-31
ASS000807,EMP0179,Agile,Intermediate,1,3.0,2026-03-21
ASS000808,EMP0179,Communication,Beginner,2,,2026-05-04
ASS000809,EMP0180,Communication,Advanced,3,3.0,2026-03-11
ASS000810,EMP0180,Excel,Intermediate,2,5.0,2026-05-19
ASS000811,EMP0180,Project Management,Expert,4,,2026-04-05
ASS000812,EMP0180,Compliance,Advanced,5,,2026-04-25
ASS000813,EMP0180,Power BI,Expert,4,3.0,2026-02-02
ASS000814,EMP0180,Agile,Intermediate,3,4.0,2026-04-19
ASS000815,EMP0181,Excel,Intermediate,5,3.0,2026-01-28
ASS000816,EMP0181,Agile,Beginner,3,4.0,2026-02-27
ASS000817,EMP0181,Communication,Advanced,2,,2026-02-03
ASS000818,EMP0182,Power BI,Beginner,5,4.0,2026-02-01
ASS000819,EMP0182,Sales,Expert,4,5.0,2025-12-23
ASS000820,EMP0182,Communication,Beginner,5,,2026-01-07
ASS000821,EMP0183,Finance,Expert,5,2.0,2026-06-04
